,ASI,ASJ,AWA,ASG,AWB,ASE,ADF,AFD,AWC,ASK,ASH,ADL,BAG,URX,ALN,PLN,SDQ,AQR,PQR,ALM,AVM,PVM,PLM,FLP,DVA,PVD,ADE,PDE,PHA,PHB,PHC,IL2,CEP,URY,OLL,OLQ,IL1,AIN,AIM,RIH,URB,RIR,AIY,AIA,AUA,AIZ,RIS,PVQ,ADA,RIF,BDU,PVR,AVF,AVH,PVP,LUA,PVN,AVG,DVB,RIB,RIG,RMG,AIB,RIC,SAA,AVK,DVC,AVJ,PVT,AVD,AVL,PVW,RIA,RIM,AVE,RMF,RID,AVB,AVA,PVC,RIP,URA,RME,RMD,RIV,RMH,SAB,SMD,SMB,SIB,SIA,MNVC,MUBODY,MUHEAD,CEPsh,GLR,CAN,exc_cell,exc_gl,gonad,hmc,hyp,int,mu_anal,mu_int,mu_sph,CEM,MCM,EFn,MALE
PLM,,,,,,,,,,,,,,,,,,,,,,,,,28,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,12,,,,,,,,,,,,,7,,,,,,,,,,11,,,,,,,,4
FLP,,,,,,,,,,,,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,,,,,,,,,3,,31,,,,6,,,11,,,,4,17,,,16,66,6,,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,
DVA,,,,,,,,,,,,,,,,,,5,,,,,,,2,,1,2,,,,,,,,,,,,,,33,,,2,6,,,,,,,,2,,,,,,,,,,,9,,,,,1,,,5,4,59,,,,3,1,,,,,,,2,,11,,,7,,,,,,,,,,,,,,,,,,
PVD,,,,,,,,,,,,,,,,,,,,,,,,,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,1,,,8,,,,,,,,,,,,3,,,,,,,,,81,107,,,,,,,,,,,,16,,,,,,,,,,13,,,,,,,,9
ADE,,,,,,,,,,,,,,,,,,,,,,,,,2,,6,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,29,1,,,,10,,,,,,,,,,,,,15,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
PDE,,,,,,,,,,,,,,,,,,,,,,3,,,45,,,4,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,36,,,,,,,,,,,,,,4,,,,,,,,,,,,7,,,,,,,,,,11,,,,,,,,4
PHA,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,22,21,34,,,,,,,,,,,,,,,,,1,,,,,5,,,17,,4,,,,,,,,,,,,,,,,,,,,,12,36,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,125,304
PHB,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,17,12,21,,,,,,,,,,,,,,,,,6,,,,,,9,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,57,170
PHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,2,4,,9,77,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,27,,,,,,,,,,5,,,,,,,,618
IL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,82,35,,,72,29,,,,,,,,,,,,,,,,,,,15,,,,16,,,,,,,,,5,,,,,,,,96,47,90,11,,,,,6,,,,,,,,,,,,,,,,,,1,,,
