,ASI,ASJ,AWA,ASG,AWB,ASE,ADF,AFD,AWC,ASK,ASH,ADL,BAG,URX,ALN,PLN,SDQ,AQR,PQR,ALM,AVM,PVM,PLM,FLP,DVA,PVD,ADE,PDE,PHA,PHB,PHC,IL2,CEP,URY,OLL,OLQ,IL1,AIN,AIM,RIH,URB,RIR,AIY,AIA,AUA,AIZ,RIS,ALA,PVQ,ADA,RIF,BDU,PVR,AVF,AVH,PVP,LUA,PVN,AVG,DVB,RIB,RIG,RMG,AIB,RIC,SAA,AVK,DVC,AVJ,PVT,AVD,AVL,PVW,RIA,RIM,AVE,RMF,RID,AVB,AVA,PVC,RIP,URA,RME,RMD,RIV,RMH,SAB,SMD,SMB,SIB,SIA,MNVC,MUHEAD,MUBODY,CEPsh,GLR,CAN,exc_cell,exc_gl,hmc,hyp,int,mu_int,mu_anal,mu_sph,HSN,VC,um,vm
PLM,,,,,,,,,,,,,,,,1,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,17,,,,,,,,,,,,,,5,,,,,,,,,6,12,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
FLP,,,,,,,,,,,,,,,,,1,,,,,,,12,,,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,16,,,,,,,,,,,,,,,,,,,,,1,29,,,,,,,,,,,,,,,,,
DVA,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,15,,,1,,,,,,,,,,1,18,1,,8,,,,,,,,,14,,4,,,,,,,,,,,2,12,,,,,,,,,4,,,,,,,,
PVD,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,10,3,,,,,,,,,,,,6,,,,,200,,,800,800,,,,,,,,
ADE,,,,,,,,,,,,,,,2,,,,,,,1,,4,,,,,,,,2,,,,,,6,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,4,,1,,,,,,,,,,,,,,,1,1,,,,,,2,,,,,,,,,,,,,,,,,,,
PDE,,,,,,,,,,,,,,,,,,,,,,19,11,,9,1,,50,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,2,,,,,,,,,,,,,,5,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,
PHA,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,14,,2,,,,,,,,,,,,,,,,,,,,,,2,,3,22,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,
PHB,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,34,1,,,,,,,,,,,,,,,,,,3,,,,,,15,1,,,,,,,,,,,,,1,1,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,
PHC,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,5,5,,,,,,,,,,,,8,,,,,,,,,1,,,,,,,,
IL2,,1,,,,,,,,,,,,5,,,,,,,,,,,,,2,,,,,,1,,2,,1,,,,8,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
CEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,15,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,4,,,,,,,,,,,,,
URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,2,15,,,,,,,,,4,,,,,,,,,,,18,15,,,,,,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,,,,,,,,,,,,
IL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,80,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,9,2,,,,,,,,,,,,,,,,,,,,,,,,,
AIN,1,,,2,,,,,,,,,3,,,,,,,,,,,,,,6,,,,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
