Method,NumClusters,Recall,Precision,F-measure,PPV,SN,ACC,SEP,Runtime,PeakMemory
asyn_lpa,146,0.182,0.267,0.217,0.740,0.227,0.410,0.001,0.140,105835
label_propagation,142,0.186,0.275,0.222,0.750,0.223,0.409,0.001,0.146,121556
louvain_nx,114,0.169,0.298,0.216,0.671,0.279,0.432,0.002,0.213,1081329
louvain,162,0.178,0.241,0.205,0.775,0.200,0.393,0.001,127.048,22338741
girvan_newman_nx,115,0.169,0.296,0.215,0.678,0.271,0.429,0.002,330.056,20872786
girvan_newman,115,0.169,0.296,0.215,0.678,0.271,0.429,0.002,398.928,38266841
bvns,34,0.000,0.000,0.000,0.245,0.140,0.185,0.001,29553.119,20021060
